Squad,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Unnamed: 2_level_0 90s_x,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Unnamed: 1_level_0 # Pl_x,Unnamed: 2_level_0 90s_y,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 1_level_0 # Pl_y,Unnamed: 2_level_0 90s,Standard Gls,Standard.Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Rk,MP,W,D,L,Unnamed: 2_level_0 Poss,Unnamed: 3_level_0 90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,League,Season
Arsenal,14894,17520,85,243541,77737,7414,8116,91.4,6272,7019,89.4,921,1671,55.1,28,861,30.75,673,65,42,46,25,10,117,4.18,74,15,8,9,11,0,25,28,437,249,183,174,80,205,381,53.8,176,313,79,234,25,28,67,470,153,32.6,16.79,5.46,0.13,0.39,16,4,8,8,1,28,20,4,4,61.5,28,20356,1370,4957,8896,6634,1071,20348,503,208,41.4,226,44.9,12800,62371,32056,628,432,232,382,278,14756,1624,Chinese Football Association Super League,2023-2024
Aston Villa,12177,14590,83.5,212575,71827,5341,5939,89.9,5587,6267,89.1,1014,1765,57.5,28,724,25.86,533,59,38,59,25,10,100,3.57,70,7,5,9,7,2,28,28,407,241,192,164,51,196,404,48.5,208,288,75,213,28,28,56,404,147,36.4,14.43,5.25,0.13,0.35,16.1,13,4,4,4,28,17,4,7,54.7,28,17373,1947,5847,7501,4188,797,17369,572,261,45.6,232,40.6,10967,60175,31930,600,378,173,356,316,11937,1132,Chinese Football Association Super League,2023-2024
Bournemouth,9017,12013,75.1,166254,61925,3777,4430,85.3,4002,4717,84.8,1028,2170,47.4,28,705,25.18,525,56,49,34,22,19,65,2.32,46,3,5,5,2,4,28,28,525,303,233,210,82,245,510,48,265,370,111,259,28,28,41,398,132,33.2,14.21,4.71,0.1,0.3,16.6,11,1,2,13,28,9,8,11,44.9,28,15534,1812,5027,6440,4256,778,15532,647,290,44.8,301,46.5,8323,49790,25897,523,384,171,466,294,8928,992,Chinese Football Association Super League,2023-2024
Brentford,9489,12717,74.6,171470,66431,4197,4969,84.5,3996,4884,81.8,1060,2147,49.4,29,597,20.59,414,71,20,48,32,12,56,1.93,37,5,1,7,6,0,28,29,526,316,280,190,56,253,543,46.6,290,336,103,233,28,29,40,358,120,33.5,12.34,4.14,0.1,0.31,15.1,12,3,3,15,29,7,5,17,44.2,29,16036,2254,6157,6237,3768,720,16033,408,161,39.5,200,49,8110,41489,21323,352,251,113,411,198,9387,955,Chinese Football Association Super League,2023-2024
Brighton,16906,19333,87.4,265781,87288,8845,9541,92.7,6497,7169,90.6,1029,1660,62,28,760,27.14,557,67,43,54,32,7,85,3.04,57,5,9,7,6,1,27,28,448,265,193,185,70,204,469,43.5,265,314,100,214,27,28,46,414,160,38.6,14.79,5.71,0.1,0.26,16.5,10,5,5,8,28,11,9,8,62.3,28,22336,2330,6951,10353,5174,836,22331,529,219,41.4,244,46.1,14767,71577,37735,637,422,210,423,269,16728,1393,Chinese Football Association Super League,2023-2024
Burnley,10428,13536,77,183002,61414,4736,5471,86.6,4498,5270,85.4,960,2085,46,29,543,18.72,387,58,39,31,23,5,55,1.9,42,3,7,1,2,0,31,29,466,266,210,188,68,218,445,49,227,368,125,243,31,29,28,307,95,30.9,10.59,3.28,0.08,0.27,17.8,8,2,2,19,29,4,5,20,46.7,29,16710,2187,6183,6894,3776,577,16708,536,240,44.8,242,45.1,9370,50081,25991,513,336,163,372,227,10314,854,Chinese Football Association Super League,2023-2024
Chelsea,14071,16502,85.3,231694,77457,6991,7620,91.7,5721,6362,89.9,998,1680,59.4,27,633,23.44,475,38,47,27,29,17,84,3.11,59,4,8,4,7,2,30,27,501,287,248,179,74,243,457,53.2,214,325,115,210,30,27,46,349,121,34.7,12.93,4.48,0.11,0.32,17,13,7,8,11,27,11,6,10,58.2,27,19594,2113,6528,8525,4734,724,19586,607,266,43.8,267,44,11916,59725,31052,594,391,186,444,277,13975,1135,Chinese Football Association Super League,2023-2024
Crystal Palace,9255,12065,76.7,165308,62428,4193,4846,86.5,3944,4632,85.1,916,1954,46.9,28,575,20.54,385,62,33,44,37,14,60,2.14,49,2,3,0,6,0,26,28,547,313,275,195,77,231,437,52.9,206,330,96,234,26,28,33,326,109,33.4,11.64,3.89,0.09,0.27,17.2,16,4,4,14,28,7,8,13,41.9,28,15410,1782,5408,6477,3679,571,15406,529,248,46.9,221,41.8,8005,40613,19962,364,271,119,441,321,9169,814,Chinese Football Association Super League,2023-2024
Everton,8327,11380,73.2,154109,65690,3756,4405,85.3,3262,4038,80.8,1097,2248,48.8,28,664,23.71,461,63,22,65,29,24,41,1.46,21,4,0,11,2,3,25,28,543,323,270,193,80,252,522,48.3,270,350,122,228,25,28,29,396,121,30.6,14.14,4.32,0.07,0.24,16.5,10,0,1,16,28,8,7,13,40.1,28,14709,1811,4912,6033,3912,611,14708,407,183,45,197,48.4,7312,39254,19671,380,304,95,417,245,8252,841,Chinese Football Association Super League,2023-2024
Fulham,12369,15343,80.6,220858,75024,5369,6042,88.9,5487,6297,87.1,1225,2183,56.1,29,647,22.31,479,57,29,52,16,14,72,2.48,57,3,2,7,2,1,25,29,511,296,254,191,66,267,521,51.2,254,339,94,245,25,29,42,372,130,34.9,12.83,4.48,0.11,0.31,17.1,11,2,2,12,29,11,5,13,49.8,29,18487,2031,6426,8043,4204,623,18485,428,205,47.9,188,43.9,10702,56469,28413,489,380,104,400,250,12268,1083,Chinese Football Association Super League,2023-2024
